"Symbol","Description","Market Capitalization","Average Volume (10 Day)","Price","Universe","Sector","Industry","Sub-Industry"
"NMRK","Newmark Group Inc","$3B (Small)","1,164,730","$17.32","Domestic","Real Estate","Real Estate Management & Development","Real Estate Services"
"NNN","NNN REIT Inc","$8B (Mid)","1,465,730","$40.47","Domestic","Real Estate","Retail REITs","Retail REITs"
"NRG","NRG Energy Inc","$31B (Mid)","1,591,810","$161.44","Domestic","Utilities","Electric Utilities","Electric Utilities"
"NSA","National Storage Affiliates Trust","$2B (Small)","1,193,750","$29.81","Domestic","Real Estate","Specialized REITs","Self-Storage REITs"
"NWE","NorthWestern Energy Group Inc","$4B (Small)","608,230","$67.84","Domestic","Utilities","Multi-Utilities","Multi-Utilities"
"O","Realty Income Corp","$53B (Large)","6,034,100","$57.72","Domestic","Real Estate","Retail REITs","Retail REITs"
"OGE","OGE Energy Corp","$9B (Mid)","1,469,050","$43.05","Domestic","Utilities","Electric Utilities","Electric Utilities"
"OGS","ONE Gas Inc","$5B (Small)","496,340","$76.93","Domestic","Utilities","Gas Utilities","Gas Utilities"
"OHI","Omega Healthcare Investors Inc","$13B (Mid)","1,886,820","$43.97","Domestic","Real Estate","Health Care REITs","Health Care REITs"
"OKLO","Oklo Inc","$14B (Mid)","11,145,640","$87.42","Domestic","Utilities","Electric Utilities","Electric Utilities"
"OPEN","Opendoor Technologies Inc","$6B (Small)","65,135,250","$6.56","Domestic","Real Estate","Real Estate Management & Development","Real Estate Services"
"ORA","Ormat Technologies Inc","$7B (Small)","614,730","$113.35","Domestic","Utilities","Independent Power & Renewable Electricity Producers","Renewable Electricity"
"OTTR","Otter Tail Corp","$4B (Small)","178,430","$84.06","Domestic","Utilities","Electric Utilities","Electric Utilities"
"OUT","OUTFRONT Media Inc","$4B (Small)","1,267,340","$23.42","Domestic","Real Estate","Specialized REITs","Other Specialized REITs"
"PAM","Pampa Energia SA","$5B (Small)","142,180","$88.41","International (ADR)","Utilities","Electric Utilities","Electric Utilities"
"PCG","PG&E Corp","$33B (Mid)","22,278,140","$15.16","Domestic","Utilities","Electric Utilities","Electric Utilities"
"PCH","Potlatchdeltic Corp","$3B (Small)","423,760","$40.28","Domestic","Real Estate","Specialized REITs","Timber REITs"
"PECO","Phillips Edison & Co Inc","$4B (Small)","745,410","$35.05","Domestic","Real Estate","Retail REITs","Retail REITs"
"PEG","Public Service Enterprise Group Inc","$39B (Mid)","3,293,720","$78.89","Domestic","Utilities","Multi-Utilities","Multi-Utilities"
